__id__,Bot,Duplicate,Host,Image,Link,Location,Miles,Posted,Price,Profile,Scraped,Send,Short,Task,TextId,Title,Uploaded
2s8qxL2ZCLNltf6Ohfk3,lappassavuty,FALSE,Bot-Host-1,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/413026562_678625244456524_10461334208423222_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=6b907e&_nc_ohc=JrfcSx_2fDEAX_ty36U&_nc_ht=scontent-iad3-2.xx&oh=00_AfC1ZSd9gdoOm_PuvrOK8hfupz-TUCz743qbPZbVN_buUg&oe=65987462,https://www.facebook.com/marketplace/item/943717714025687,"Roseville, California",80000,1704226664,"$21,999",facebook.com,1704226664,TRUE,searchhammer.com/?r=AtCT89K0RLcn5RAgHK4h,Chevrolet Silverado 3500,AtCT89K0RLcn5RAgHK4h,2005 Chevrolet Silverado 3500 Extended Cab,2024-01-02T20:22:28.507Z
usBjca4Q63an24bvivQT,RoseShawRoseShaw,FALSE,Bot-Host-8,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/415311930_24447647988213200_6780070101497045008_n.jpg?stp=dst-jpg_p720x720&_nc_cat=107&ccb=1-7&_nc_sid=6b907e&_nc_ohc=BiTr-aO-l5IAX_J3YmM&_nc_ht=scontent-iad3-1.xx&oh=00_AfCoRe1LCtLqvHXnpizAJYBb-9nTKJ_PXSeqRi_wD-8zQQ&oe=65997D1A,https://www.facebook.com/marketplace/item/2383536335173299,"Alvin, Texas",19000,1704226714,"$2,000",facebook.com,1704226714,TRUE,searchhammer.com/?r=Uhstis5ca1IOD2MChhYC,Ford F-250 Super Duty Super,Uhstis5ca1IOD2MChhYC,2003 Ford F250 Super Duty Super Cab · XLT Pickup 4D 8 ft,2024-01-02T20:25:10.588Z
sBrbYMXIMpVbjopfzDH2,MaryWood,FALSE,Bot-Host-8,https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/416230422_344910665070083_8225675244160350881_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=6b907e&_nc_ohc=j9CJDsLMeMgAX8ZkRVJ&_nc_ht=scontent-lax3-2.xx&oh=00_AfBJXCCd8-KlAP_JB2gY4wCxKDahLLWqkDO3nlpJjBc0WQ&oe=6598EE1F,https://www.facebook.com/marketplace/item/1045973583400114,"Centerville, North Carolina",82277,1704226487,"$25,000",facebook.com,1704226487,TRUE,searchhammer.com/?r=hlGX0cZrqZKcsHZyaDV6,Ford F-350 Crew,hlGX0cZrqZKcsHZyaDV6,1997 Ford F350 Crew Cab · Long Bed,2024-01-02T20:25:59.048Z
uV32TI82pLWpU8HBa1Up,ysewynsahlad,FALSE,Bot-Host-1,https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-6/414478548_7025698400800562_470713382207029430_n.jpg?stp=dst-jpg_p720x720&_nc_cat=100&ccb=1-7&_nc_sid=6b907e&_nc_ohc=W2Yyj2eXIvwAX9DJOb7&_nc_ht=scontent-mia3-1.xx&oh=00_AfB0zskJ7hZrIrzBjuPzd7n9hDi8XLI68oWeiHlVhuL1Yg&oe=6598FCB3,https://www.facebook.com/marketplace/item/766789568604594,"Belchertown, Massachusetts",140000,1704227046,$250,facebook.com,1704227046,TRUE,searchhammer.com/?r=GYJ3uUFjP67pVIiHgsWZ,Dodge Ram 3500,GYJ3uUFjP67pVIiHgsWZ,2003 Dodge Ram 3500 Quad Cab · Laramie Pickup 4D 6 1/2 ft,2024-01-02T20:26:33.968Z
qy8T6iBVXyJWG6pCWpGR,jacobagidhudson,FALSE,Bot-Host-3,https://scontent-fco2-1.xx.fbcdn.net/v/t39.30808-6/416689450_1994687060931821_3950608945573716922_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=6b907e&_nc_ohc=YPXXpPUO4DcAX9aN04L&_nc_ht=scontent-fco2-1.xx&oh=00_AfBFQWZhWlNrK646coMI8XRmdFChXhKGXRQXy9srPiIRLg&oe=6599C6C4,https://www.facebook.com/marketplace/item/1079546540137976,"Pimento, Indiana",20000,1704226922,"$15,500",facebook.com,1704226922,TRUE,searchhammer.com/?r=ybOhscjp2zNduhYCIRtd,Dodge Ram 2500,ybOhscjp2zNduhYCIRtd,1999 Dodge Ram 2500 Quad Cab · Short Bed,2024-01-02T20:30:26.590Z
3QRmSmrG8L13AX5x5Qq4,mekongkapfv,FALSE,Bot-Host-3,https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/415203783_6983098838404333_9106406554404467268_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=6b907e&_nc_ohc=6L-bxc_8Y3gAX8wxhFP&_nc_ht=scontent-atl3-2.xx&oh=00_AfCygfJ7Ll3SjeAsCdZ5sit7TzgJzuY-yIdVc3i-IEQjrQ&oe=65993B8C,https://www.facebook.com/marketplace/item/1577127959778148,"Dallas, Texas",24000,1704226735,"$3,500",facebook.com,1704226735,TRUE,searchhammer.com/?r=IammOyXoQ0m7aDzXWNiO,Ford F-250,IammOyXoQ0m7aDzXWNiO,1999 Ford F250 Super Duty Crew Cab · Long Bed,2024-01-02T20:33:08.431Z
FEnSOXgfVMOiY0j1qC3k,koukotownec,FALSE,Bot-Host-13,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/416128579_864895225432388_167866753666119382_n.jpg?stp=dst-jpg_s960x960&_nc_cat=103&ccb=1-7&_nc_sid=6b907e&_nc_ohc=kUsb1Mcnn0UAX_5D-sv&_nc_ht=scontent-iad3-2.xx&oh=00_AfDMr6060Xtxx0KFLJCTsek-8i_7RQLOjdyIbEWO8MV-Vg&oe=6598DAF7,https://www.facebook.com/marketplace/item/1226959272026907,"Brockport, Pennsylvania",300,1704227352,"$4,500",facebook.com,1704227352,TRUE,searchhammer.com/?r=txYTjGDPLs09Qn26drqF,Ford F-350 Super Duty,txYTjGDPLs09Qn26drqF,1999 Ford F350 Super Duty Crew Cab,2024-01-02T20:35:56.155Z
KqrHKaVR1wQQQsGugoDV,cottrellhvr68767,FALSE,Bot-Host-14,https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-6/414483156_10220151431815833_3657292657196408005_n.jpg?stp=dst-jpg_p720x720&_nc_cat=105&ccb=1-7&_nc_sid=6b907e&_nc_ohc=3LWOy3KlymwAX9XI55s&_nc_ht=scontent-lax3-1.xx&oh=00_AfBCV9BatuAiXWPE7UyJr91CCyM9cyOTfPcvX-8lpO83EA&oe=6599E9F6,https://www.facebook.com/marketplace/item/1050230029529554,"Pittston, Maine",115604,1704226710,"$3,500",facebook.com,1704226710,TRUE,searchhammer.com/?r=6nA60DBTzaIjMCb0seRk,Ford F-250 Super Duty Super,6nA60DBTzaIjMCb0seRk,2003 Ford F250 Super Duty Super Cab · XL Pickup 4D 8 ft,2024-01-02T20:38:40.482Z
m08vbYfyln3iSi6hLwkg,tomojiadanmaa,FALSE,Bot-Host-1,https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/415150865_6384479761653207_1800148342026613088_n.jpg?stp=dst-jpg_p180x540&_nc_cat=101&ccb=1-7&_nc_sid=6b907e&_nc_ohc=bfxf2Yb6sC4AX_oweK3&_nc_ht=scontent-atl3-2.xx&oh=00_AfBiZnKrjEaHxvMxlM1qTLEcjG7T198s3Z4NpCX9r2XGJA&oe=6599A7DC,https://www.facebook.com/marketplace/item/383909220800993,"Mesa, Arizona",143000,1704227583,"$7,500",facebook.com,1704227583,TRUE,searchhammer.com/?r=MNGMytUbpDOko4YjUZcB,Ford F-350,MNGMytUbpDOko4YjUZcB,1999 Ford F350 Super Duty Super Cab,2024-01-02T20:38:58.718Z
BA3h0S3WAKPnR0TnMRJ3,nsilaaribakr,FALSE,Bot-Host-1,https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-6/416201233_2714197095437088_4295258454209532761_n.jpg?stp=dst-jpg_p720x720&_nc_cat=106&ccb=1-7&_nc_sid=6b907e&_nc_ohc=3RKy2mjrO5wAX9m1ksY&_nc_ht=scontent-lax3-2.xx&cb_e2o_trans=t&oh=00_AfBrwwvkcSWvuReqpWfC2TpWud1mFpAWOvF-5orYCrv-eA&oe=6598D27F,https://www.facebook.com/marketplace/item/1052138582661774,"Gates, Tennessee",300,1704227896,"$25,000",facebook.com,1704227896,TRUE,searchhammer.com/?r=QEpknRiZvE3uoedQ9dmu,Dodge D-350,QEpknRiZvE3uoedQ9dmu,1993 Dodge D350 Regular Cab · Long Bed,2024-01-02T20:44:25.261Z
8aEcwTpvLAv7Aaozhqhf,freemantleletitiaus,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/416307667_10161586958663319_6580823649639839816_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=6b907e&_nc_ohc=mt4d3hkYC7IAX8-0mb3&_nc_ht=scontent-atl3-1.xx&cb_e2o_trans=t&oh=00_AfA3V51IQq8B4q7Pe6H64MiifIVZ_Gj4AppSWjR4Iif9XQ&oe=65999E8E,https://www.facebook.com/marketplace/item/1517026599090875,"Carmel, California",139600,1704227655,"$4,500",facebook.com,1704227655,TRUE,searchhammer.com/?r=wtJbc9IURpo6RQ39ThGO,Dodge Ram 3500,wtJbc9IURpo6RQ39ThGO,2000 Dodge Ram Van 3500 · Van,2024-01-02T20:46:17.281Z
RPKML7UNQESq42fTGUkH,freemantleletitiaus,FALSE,Bot-Host-1,https://scontent-atl3-1.xx.fbcdn.net/v/t39.30808-6/416137333_740466427978790_7320043057836738865_n.jpg?stp=dst-jpg_s960x960&_nc_cat=107&ccb=1-7&_nc_sid=6b907e&_nc_ohc=YHm3DsQH1PAAX87x9Do&_nc_ht=scontent-atl3-1.xx&cb_e2o_trans=t&oh=00_AfBDoKBLTSgnGArwXdDlIMfiAEz1P6ObbWEsldOZxwpZNw&oe=6598BC53,https://www.facebook.com/marketplace/item/890590696120571,"Auburn, Washington",72000,1704228125,"$18,500",facebook.com,1704228125,TRUE,searchhammer.com/?r=2ajBwERoKD6scuBV9eOx,Dodge Ram 3500,2ajBwERoKD6scuBV9eOx,1998 Dodge Ram 3500 Quad Cab · Long Bed,2024-01-02T20:46:17.281Z
sUJePLllHsSckp8wunbd,RodneyScott,FALSE,Bot-Host-3,https://scontent-atl3-2.xx.fbcdn.net/v/t39.30808-6/415262850_3076737119125357_2428730591730382325_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-7&_nc_sid=6b907e&_nc_ohc=3Z_v3Ujdun4AX9JMzbR&_nc_ht=scontent-atl3-2.xx&oh=00_AfBlq1YZi4IWU1uTmy97yfOI8RlljIiX7hZ8Ru4YeTElCg&oe=659A50B8,https://www.facebook.com/marketplace/item/315447090805240,"Grandview, Tennessee",1588,1704039261,"$2,500",facebook.com,1704039261,TRUE,searchhammer.com/?r=Kfh6q94cTRA04dn7gpTO,Chevrolet Silverado 2500,Kfh6q94cTRA04dn7gpTO,2006 Chevrolet [hidden information]17480 · LS Sport Utility Pickup 4D 5 1/4 ft,2024-01-02T20:47:03.290Z
