group_name,url,status,thumbnail,description
1988 Ford F-250 Supercab,https://www.facebook.com/groups/800923946602223/,Public · 34 members,https://scontent-ord5-2.xx.fbcdn.net/v/t1.30497-1/116687302_959241714549285_318408173653384421_n.jpg?stp=cp0_dst-jpg_p60x60&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_AiauEvJT5MAX8QWnAJ&_nc_ht=scontent-ord5-2.xx&oh=00_AfAUMoZqf9eE1esXlxAcqsqbLoo1n99fZHEP7zV3MHrH7A&oe=662409C3,No Description
"1993-1999 Ford F150 ,f-250 For Sale Or Trade",https://www.facebook.com/groups/1472217579756377/,Public · 2.9K members · 8 posts a month,https://scontent-ord5-2.xx.fbcdn.net/v/t1.30497-1/116687302_959241714549285_318408173653384421_n.jpg?stp=cp0_dst-jpg_p60x60&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_AiauEvJT5MAX8QWnAJ&_nc_ht=scontent-ord5-2.xx&oh=00_AfAUMoZqf9eE1esXlxAcqsqbLoo1n99fZHEP7zV3MHrH7A&oe=662409C3,No Description
1998 Chevrolet Silverado Group,https://www.facebook.com/groups/333742847113586/,Public · 48 members · 8 posts a year,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428607514_420926830282310_8379440139538543542_n.jpg?stp=c16.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-Gafrc8FxBoAX82IK_d&_nc_ht=scontent-ord5-2.xx&oh=00_AfDDSzaP4ZfUznKteIlrTRj-Dgr_TNsn5Lvq_kVVJAkclA&oe=66010FFF,No Description
1998 Chevrolet Silverado Group,https://www.facebook.com/groups/333742847113586/,Public · 48 members · 8 posts a year,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428607514_420926830282310_8379440139538543542_n.jpg?stp=c16.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=-Gafrc8FxBoAX82IK_d&_nc_ht=scontent-ord5-2.xx&oh=00_AfDDSzaP4ZfUznKteIlrTRj-Dgr_TNsn5Lvq_kVVJAkclA&oe=66010FFF,No Description
1999-06 Gmc Sierra and Chevrolet Silverado trucks and parts,https://www.facebook.com/groups/501442778687254/,Public · 11K members · 10 posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/316664049_10160119732199544_1314655864241854167_n.jpg?stp=c0.22.64.64a_cp0_dst-jpg_p64x64&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=nef_6YVh1tYAX9RUwLp&_nc_ht=scontent-ord5-2.xx&oh=00_AfAp0C2wvo1W-RlDlxM2owUC07RwOs3sieLU5sHSvOcFVg&oe=66015060,Hello this is a group to find 99-06 Chevrolet Silverado trucks 0r Gmc Sierra trucks and parts also people can post searching for parts
1999-06 Gmc Sierra and Chevrolet Silverado trucks and parts,https://www.facebook.com/groups/501442778687254/,Public · 11K members · 10 posts a day,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/316664049_10160119732199544_1314655864241854167_n.jpg?stp=c0.22.64.64a_cp0_dst-jpg_p64x64&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=nef_6YVh1tYAX9RUwLp&_nc_ht=scontent-ord5-2.xx&oh=00_AfAp0C2wvo1W-RlDlxM2owUC07RwOs3sieLU5sHSvOcFVg&oe=66015060,Hello this is a group to find 99-06 Chevrolet Silverado trucks 0r Gmc Sierra trucks and parts also people can post searching for parts
1999-2002 Chevrolet Silverado,https://www.facebook.com/groups/1228484198103059/,Public · 550 members · 8 posts a month,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/323446507_5902461279841692_1239986542636514552_n.jpg?stp=c0.16.64.64a_cp0_dst-jpg_p64x64&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ZNSvCy7biUIAX-OPRwt&_nc_ht=scontent-ord5-2.xx&oh=00_AfCWGltDILzrlctLxfrGml6ATyVI-JaJH_iO448e5Jo8SQ&oe=66013E0A,All about your trusted Chevrolet. Ford Sucks.
2001 Ford F250 Platinum Owners,https://www.facebook.com/groups/1265070603531071/,Private · 204 members,https://scontent-ord5-2.xx.fbcdn.net/v/t31.18172-8/15936745_10157942442290063_2017720465244714808_o.jpg?stp=c25.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=VbVAhY28MeUAX8XYFzk&_nc_ht=scontent-ord5-2.xx&oh=00_AfAR9wHHJYLcWZwsth-xaJuXTI9ebzgVWIjP9k61vPJqiQ&oe=662409B5,No Description
2003-2007 (Cats eye) Classic Chevrolet Silverado 1500-3500,https://www.facebook.com/groups/296521272434691/,Private · 1.7K members,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/417912991_397284879530375_157763791767802564_n.jpg?stp=c7.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_o18IImiw_0AX_QVHnr&_nc_ht=scontent-ord5-1.xx&oh=00_AfBa3Acd9pOJewQnqyEEoYMHa9yDy9JETs3EdGt5PPiSWQ&oe=66014AD3,"This is a enthusiast's group for the 2003 thru 2007 (classic body style) or cats eye front end Chevy Silverado lovers. This is to include any cab, bed, engine and drivetrain and the cats eye Avalanche. We welcome current and past owners of this beautiful truck."
2007-2014 Chevrolet Suburban 2500/GMC Yukon 2500 Owners Group,https://www.facebook.com/groups/1703459090138942/,Public · 966 members · 8 posts a month,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428700844_10161503693670984_3657097422561740205_n.jpg?stp=c10.0.64.64a_cp0_dst-jpg_p64x64&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=HJ17Ecksz1MAX_Udk1N&_nc_ht=scontent-ord5-2.xx&oh=00_AfCGMoq8V7qf1ZrDemUYa-X53lt7AoUW0cWMTPdaryBg3Q&oe=6601C23F,"Owners and potential owners discussion on service, repairs, features, parts, accessories, and other group discussions about GMT900 2500 platform"
